stopID,line,stopName,borough,direction
R01N,N,Astoria-Ditmars Blvd,Q,Last Stop
R01S,N,Astoria-Ditmars Blvd,Q,Manhattan
R01N,W,Astoria-Ditmars Blvd,Q,Last Stop
R01S,W,Astoria-Ditmars Blvd,Q,Manhattan
R03N,N,Astoria Blvd,Q,Astoria
R03S,N,Astoria Blvd,Q,Manhattan
R03N,W,Astoria Blvd,Q,Astoria
R03S,W,Astoria Blvd,Q,Manhattan
R04N,N,30 Av,Q,Astoria
R04S,N,30 Av,Q,Manhattan
R04N,W,30 Av,Q,Astoria
R04S,W,30 Av,Q,Manhattan
R05N,N,Broadway,Q,Astoria
R05S,N,Broadway,Q,Manhattan
R05N,W,Broadway,Q,Astoria
R05S,W,Broadway,Q,Manhattan
R06N,N,36 Av,Q,Astoria
R06S,N,36 Av,Q,Manhattan
R06N,W,36 Av,Q,Astoria
R06S,W,36 Av,Q,Manhattan
R08N,N,39 Av-Dutch Kills,Q,Astoria
R08S,N,39 Av-Dutch Kills,Q,Manhattan
R08N,W,39 Av-Dutch Kills,Q,Astoria
R08S,W,39 Av-Dutch Kills,Q,Manhattan
R11N,N,Lexington Av/59 St,M,Queens
R11S,N,Lexington Av/59 St,M,Downtown
R11N,R,Lexington Av/59 St,M,Queens
R11S,R,Lexington Av/59 St,M,Downtown
R11N,W,Lexington Av/59 St,M,Queens
R11S,W,Lexington Av/59 St,M,Downtown
R13N,N,5 Av/59 St,M,Queens
R13S,N,5 Av/59 St,M,Downtown
R13N,R,5 Av/59 St,M,Queens
R13S,R,5 Av/59 St,M,Downtown
R13N,W,5 Av/59 St,M,Queens
R13S,W,5 Av/59 St,M,Downtown
R14N,N,57 St-7 Av,M,Uptown
R14S,N,57 St-7 Av,M,Downtown
R14N,Q,57 St-7 Av,M,Uptown
R14S,Q,57 St-7 Av,M,Downtown
R14N,R,57 St-7 Av,M,Uptown
R14S,R,57 St-7 Av,M,Downtown
R14N,W,57 St-7 Av,M,Uptown
R14S,W,57 St-7 Av,M,Downtown
R15N,N,49 St,M,Uptown
R15S,N,49 St,M,Downtown
R15N,R,49 St,M,Uptown
R15S,R,49 St,M,Downtown
R15N,W,49 St,M,Uptown
R15S,W,49 St,M,Downtown
R16N,N,Times Sq-42 St,M,Uptown
R16S,N,Times Sq-42 St,M,Downtown
R16N,Q,Times Sq-42 St,M,Uptown
R16S,Q,Times Sq-42 St,M,Downtown
R16N,R,Times Sq-42 St,M,Uptown
R16S,R,Times Sq-42 St,M,Downtown
R16N,W,Times Sq-42 St,M,Uptown
R16S,W,Times Sq-42 St,M,Downtown
R17N,N,34 St-Herald Sq,M,Uptown
R17S,N,34 St-Herald Sq,M,Downtown
R17N,Q,34 St-Herald Sq,M,Uptown
R17S,Q,34 St-Herald Sq,M,Downtown
R17N,R,34 St-Herald Sq,M,Uptown
R17S,R,34 St-Herald Sq,M,Downtown
R17N,W,34 St-Herald Sq,M,Uptown
R17S,W,34 St-Herald Sq,M,Downtown
R18N,R,28 St,M,Uptown
R18S,R,28 St,M,Downtown
R18N,W,28 St,M,Uptown
R18S,W,28 St,M,Downtown
R19N,R,23 St,M,Uptown
R19S,R,23 St,M,Downtown
R19N,W,23 St,M,Uptown
R19S,W,23 St,M,Downtown
R20N,N,14 St-Union Sq,M,Uptown
R20S,N,14 St-Union Sq,M,Downtown
R20N,Q,14 St-Union Sq,M,Uptown
R20S,Q,14 St-Union Sq,M,Downtown
R20N,R,14 St-Union Sq,M,Uptown
R20S,R,14 St-Union Sq,M,Downtown
R20N,W,14 St-Union Sq,M,Uptown
R20S,W,14 St-Union Sq,M,Downtown
R21N,R,8 St-NYU,M,Uptown
R21S,R,8 St-NYU,M,Downtown
R21N,W,8 St-NYU,M,Uptown
R21S,W,8 St-NYU,M,Downtown
R22N,R,Prince St,M,Uptown
R22S,R,Prince St,M,Downtown
R22N,W,Prince St,M,Uptown
R22S,W,Prince St,M,Downtown
R23N,R,Canal St,M,Uptown
R23S,R,Canal St,M,Downtown
R23N,W,Canal St,M,Uptown
R23S,W,Canal St,M,Downtown
Q01N,N,Canal St,M,Uptown
